date,open,high,low,close,volume
1/3/2022,335.350006,338,329.779999,334.75,28865100
1/4/2022,334.829987,335.200012,326.119995,329.01001,32674300
1/5/2022,325.859985,326.070007,315.980011,316.380005,40054300
1/6/2022,313.149994,318.700012,311.48999,313.880005,39646100
1/7/2022,314.149994,316.5,310.089996,314.040009,32720000
1/10/2022,309.48999,314.720001,304.690002,314.269989,44289500
1/11/2022,313.380005,316.609985,309.890015,314.980011,29386800
1/12/2022,319.670013,323.410004,317.079987,318.269989,34372200
1/13/2022,320.470001,320.880005,304,304.799988,45366000
1/14/2022,304.25,310.820007,303.75,310.200012,39846400
1/18/2022,304.070007,309.799988,301.73999,302.649994,42333200
1/19/2022,306.290009,313.910004,302.700012,303.329987,45933900
1/20/2022,309.070007,311.649994,301.140015,301.600006,35380700
1/21/2022,302.690002,304.109985,295.609985,296.029999,57984400
1/24/2022,292.200012,297.109985,276.049988,296.369995,85731500
1/25/2022,291.519989,294.98999,285.170013,288.48999,72848600
1/26/2022,307.98999,308.5,293.029999,296.709991,90428900
1/27/2022,302.660004,307.299988,297.929993,299.839996,53481300
1/28/2022,300.230011,308.480011,294.450012,308.26001,49743700
1/31/2022,308.950012,312.380005,306.369995,310.980011,46444500
2/1/2022,310.410004,310.630005,305.130005,308.76001,40950400
2/2/2022,309.630005,315.119995,308.880005,313.459991,36636000
2/3/2022,309.48999,311.230011,299.959991,301.25,43730000
2/4/2022,300.209991,308.799988,299.970001,305.940002,35096500
2/7/2022,306.170013,307.839996,299.899994,300.950012,28533300
2/8/2022,301.25,305.559998,299.950012,304.559998,32421200
2/9/2022,309.869995,311.929993,307.390015,311.209991,31284700
2/10/2022,304.040009,309.119995,300.700012,302.380005,45386200
2/11/2022,303.190002,304.290009,294.220001,295.040009,39175600
2/14/2022,293.769989,296.76001,291.350006,295,36359500
2/15/2022,300.01001,300.799988,297.019989,300.470001,27058300
2/16/2022,298.369995,300.869995,293.679993,299.5,29982100
2/17/2022,296.359985,296.799988,290,290.730011,32461600
2/18/2022,293.049988,293.859985,286.309998,287.929993,34264000
2/22/2022,285,291.540009,284.5,287.720001,41736100
2/23/2022,290.179993,291.700012,280.100006,280.269989,37811200
2/24/2022,272.51001,295.160004,271.519989,294.589996,56989700
2/25/2022,295.140015,297.630005,291.649994,297.309998,32546700
2/28/2022,294.309998,299.140015,293,298.790009,34627500
3/1/2022,296.399994,299.970001,292.149994,294.950012,31217800
3/2/2022,295.359985,301.470001,293.700012,300.190002,31873000
3/3/2022,302.890015,303.130005,294.049988,295.920013,27314500
3/4/2022,294.290009,295.660004,287.170013,289.859985,32356500
3/7/2022,288.529999,289.690002,278.529999,278.910004,43157200
3/8/2022,277.799988,283.959991,270,275.850006,48159500
3/9/2022,283.440002,289.600006,280.779999,288.5,35204500
3/10/2022,283.019989,286.600006,280.579987,285.589996,30628000
3/11/2022,287.959991,289.51001,279.429993,280.070007,27209300
3/14/2022,280.339996,285.399994,275.820007,276.440002,30660700
3/15/2022,280.350006,287.820007,278.730011,287.149994,34245100
3/16/2022,289.109985,294.570007,283.200012,294.390015,37826300
3/17/2022,293.290009,295.609985,289.369995,295.220001,30816600
3/18/2022,295.369995,301,292.730011,300.429993,43390600
3/21/2022,298.890015,300.140015,294.899994,299.160004,28351200
3/22/2022,299.799988,305,298.769989,304.059998,27599700
3/23/2022,300.51001,303.230011,297.720001,299.48999,25715400
3/24/2022,299.140015,304.200012,298.320007,304.100006,24484500
3/25/2022,305.230011,305.5,299.290009,303.679993,22566500
3/28/2022,304.329987,310.799988,304.329987,310.700012,29578200
3/29/2022,313.910004,315.820007,309.049988,315.410004,30393400
3/30/2022,313.76001,315.950012,311.579987,313.859985,28163600
3/31/2022,313.899994,315.140015,307.890015,308.309998,33422100
4/1/2022,309.369995,310.130005,305.540009,309.420013,27110500
4/4/2022,310.089996,315.109985,309.709991,314.970001,24289600
4/5/2022,313.269989,314.869995,309.869995,310.880005,23156700
